user_id,product_id,rating
1,465,1
1,504,1
1,809,1
1,109,4
1,550,1
1,241,5
1,929,5
1,346,2
1,658,1
1,159,1
1,219,3
1,200,1
1,856,4
1,117,2
1,262,4
1,733,2
1,158,5
1,285,2
1,473,2
1,543,5
1,599,1
1,937,2
1,471,4
1,967,1
1,43,3
1,763,2
1,585,5
1,948,5
1,274,3
1,354,2
1,156,3
1,621,4
1,669,1
1,118,5
1,711,1
1,989,3
1,47,2
2,12,4
2,498,3
2,604,2
2,372,2
2,801,2
2,562,3
2,217,4
2,248,3
2,910,2
2,956,4
2,203,1
2,52,2
2,125,3
2,319,5
2,386,5
2,411,3
2,555,4
2,146,1
2,101,5
2,905,1
2,397,5
2,333,3
2,739,5
2,59,2
2,209,3
2,546,5
2,219,2
2,901,3
2,281,4
2,233,1
2,724,1
2,536,1
2,749,1
2,213,5
2,27,5
2,642,5
2,912,4
2,428,1
2,117,3
2,53,5
2,31,3
2,540,3
2,266,4
2,960,4
2,452,1
2,531,5
2,805,5
3,615,1
3,241,1
3,466,2
3,239,4
3,991,3
3,616,4
3,401,2
3,279,2
3,202,1
3,688,2
3,242,5
3,113,3
3,542,3
3,951,1
3,254,4
3,940,3
3,881,3
3,324,4
3,348,2
3,699,4
3,518,3
3,635,2
3,521,3
3,214,2
3,295,1
4,180,4
4,617,2
4,259,4
4,125,5
4,664,3
4,598,2
4,825,5
4,613,4
4,323,3
4,588,3
4,686,1
4,281,5
4,939,5
4,810,3
4,15,5
4,594,2
4,690,5
4,817,3
4,449,4
4,597,5
4,961,3
4,925,3
4,74,4
4,396,1
4,689,5
4,151,3
4,663,5
4,4,1
4,450,3
4,117,3
4,900,5
4,57,2
4,519,2
4,334,1
4,554,3
4,70,2
5,615,1
5,926,1
5,360,3
5,477,2
5,190,4
5,122,5
5,34,1
5,540,3
5,617,3
5,49,3
5,465,2
5,691,1
5,764,4
5,521,4
5,766,1
5,462,5
5,630,3
5,848,3
5,414,1
5,337,1
5,140,1
5,127,4
5,571,3
5,309,2
5,767,2
5,376,4
5,147,5
5,889,1
5,421,4
5,523,1
